candidate_course_label,candidate_jurisdiction,physical_venue_name,locality,region,country,latitude,longitude,iana_timezone,location_evidence,location_validation_status,raw_course_labels,provisional_races,meeting_dates,earliest_date,latest_date
Hoppegarten,Germany,,,,,,,Europe/Berlin,,unassigned,Hoppegarten (GER),87,66,2015-04-05,2025-10-03
Krefeld,Germany,,,,,,,Europe/Berlin,,unassigned,Krefeld (GER),25,22,2015-04-26,2025-04-27
Leipzig,Germany,,,,,,,Europe/Berlin,,unassigned,Leipzig (GER),1,1,2021-06-05,2021-06-05
Magdeburg,Germany,,,,,,,Europe/Berlin,,unassigned,Magdeburg (GER),3,3,2016-05-22,2023-07-09
Mannheim,Germany,,,,,,,Europe/Berlin,,unassigned,Mannheim (GER),1,1,2018-10-27,2018-10-27
Mulheim,Germany,,,,,,,Europe/Berlin,,unassigned,Mulheim (GER),10,10,2015-07-11,2025-10-04
Munich,Germany,,,,,,,Europe/Berlin,,unassigned,Munich (GER),45,38,2015-05-01,2025-07-27
Aintree,Great Britain,,,,,,,Europe/London,,unassigned,Aintree,553,79,2015-04-09,2025-05-16
Ascot,Great Britain,,,,,,,Europe/London,,unassigned,Ascot,1734,261,2015-01-17,2025-10-04
Ayr,Great Britain,,,,,,,Europe/London,,unassigned,Ayr,2229,314,2015-01-02,2025-10-09
Bangor-on-Dee,Great Britain,Bangor-on-Dee Racecourse,Bangor-on-Dee,Wales,United Kingdom,52.9954201,-2.9277517,Europe/London,"Nominatim conservative automatic selection from query 'Bangor-on-Dee racecourse, United Kingdom'; selected result index 0.",automatically_validated,Bangor-on-Dee,924,136,2015-01-06,2025-09-05
Bath,Great Britain,Bath Racecourse,,England,United Kingdom,51.4155188,-2.412148,Europe/London,"Nominatim conservative automatic selection from query 'Bath racecourse, United Kingdom'; selected result index 1.",automatically_validated,Bath,1459,205,2015-04-17,2025-10-09
Beverley,Great Britain,Beverley Racecourse,Beverley,England,United Kingdom,53.8456402,-0.4430138,Europe/London,"Nominatim conservative automatic selection from query 'Beverley racecourse, United Kingdom'; selected result index 0.",automatically_validated,Beverley,1407,194,2015-04-15,2025-09-23
Brighton,Great Britain,,,,,,,Europe/London,,unassigned,Brighton,1477,213,2015-04-21,2025-10-07
Carlisle,Great Britain,Carlisle Racecourse,Carlisle,England,United Kingdom,54.8621916,-2.9340624,Europe/London,"Nominatim conservative automatic selection from query 'Carlisle racecourse, United Kingdom'; selected result index 0.",automatically_validated,Carlisle,1696,239,2015-02-16,2025-09-09
Cartmel,Great Britain,,,,,,,Europe/London,,unassigned,Cartmel,619,89,2015-05-25,2025-08-25
Catterick,Great Britain,,,,,,,Europe/London,,unassigned,Catterick,1909,272,2015-01-01,2025-10-01
Chelmsford (AW),Great Britain,Chelmsford City Racecourse,Chelmsford,England,United Kingdom,51.8424264,0.5112389,Europe/London,"Nominatim conservative automatic selection from query 'Chelmsford racecourse, United Kingdom'; selected result index 0.",automatically_validated,Chelmsford (AW),4149,572,2015-01-11,2025-10-09
Cheltenham,Great Britain,,,,,,,Europe/London,,unassigned,Cheltenham,1120,162,2015-01-01,2025-05-02
Chepstow,Great Britain,,,,,,,Europe/London,,unassigned,Chepstow,2225,313,2015-01-30,2025-10-12
Chester,Great Britain,,,,,,,Europe/London,,unassigned,Chester,1064,153,2015-05-06,2025-09-20
Doncaster,Great Britain,Doncaster Racecourse,Doncaster,England,United Kingdom,53.521794,-1.0985712,Europe/London,"Nominatim conservative automatic selection from query 'Doncaster racecourse, United Kingdom'; selected result index 0.",automatically_validated,Doncaster,2660,369,2015-01-09,2025-09-14
Epsom,Great Britain,,,,,,,Europe/London,,unassigned,Epsom,711,110,2015-04-22,2025-09-28
Exeter,Great Britain,Exeter Racecourse,Teignbridge,England,United Kingdom,50.6386651,-3.554229,Europe/London,"Nominatim conservative automatic selection from query 'Exeter racecourse, United Kingdom'; selected result index 0.",automatically_validated,Exeter,1082,157,2015-01-01,2025-04-02
Fakenham,Great Britain,,,,,,,Europe/London,,unassigned,Fakenham,738,117,2015-01-01,2025-06-01
Ffos Las,Great Britain,Ffos Las Racecourse & Convention Centre,Trimsaran,Wales,United Kingdom,51.7321031,-4.2370425,Europe/London,"Nominatim conservative automatic selection from query 'Ffos Las racecourse, United Kingdom'; selected result index 0.",automatically_validated,Ffos Las,1489,219,2015-01-02,2025-09-28
Fontwell,Great Britain,Fontwell Park Racecourse,Arun,England,United Kingdom,50.8526478,-0.6561129,Europe/London,"Nominatim conservative automatic selection from query 'Fontwell racecourse, United Kingdom'; selected result index 0.",automatically_validated,Fontwell,1481,217,2015-02-12,2025-10-03
Goodwood,Great Britain,Goodwood Racecourse,Chichester,England,United Kingdom,50.8921429,-0.7442414,Europe/London,"Nominatim conservative automatic selection from query 'Goodwood racecourse, United Kingdom'; selected result index 0.",automatically_validated,Goodwood,1344,195,2015-05-02,2025-10-12
Hamilton,Great Britain,,,,,,,Europe/London,,unassigned,Hamilton,1280,183,2015-05-03,2025-09-29
Haydock,Great Britain,,,,,,,Europe/London,,unassigned,Haydock,2166,316,2015-01-17,2025-09-27
Hereford,Great Britain,Hereford Racecourse,Hereford,England,United Kingdom,52.0705032,-2.7238305,Europe/London,"Nominatim conservative automatic selection from query 'Hereford racecourse, United Kingdom'; selected result index 0.",automatically_validated,Hereford,731,106,2016-10-06,2025-10-13
Hexham,Great Britain,,,,,,,Europe/London,,unassigned,Hexham,1047,152,2015-03-12,2025-10-11
Huntingdon,Great Britain,Huntingdon Racecourse,Huntingdonshire,England,United Kingdom,52.335367,-0.2338249,Europe/London,"Nominatim conservative automatic selection from query 'Huntingdon racecourse, United Kingdom'; selected result index 0.",automatically_validated,Huntingdon,1215,177,2015-01-09,2025-10-07
Kelso,Great Britain,,,,,,,Europe/London,,unassigned,Kelso,979,140,2015-01-11,2025-10-05
Kempton,Great Britain,,,,,,,Europe/London,,unassigned,Kempton,834,122,2015-01-10,2025-04-01
Kempton (AW),Great Britain,,,,,,,Europe/London,,unassigned,Kempton (AW),4787,629,2015-01-07,2025-10-13
Leicester,Great Britain,Leicester Racecourse,Oadby and Wigston,England,United Kingdom,52.597165,-1.0966121,Europe/London,"Nominatim conservative automatic selection from query 'Leicester racecourse, United Kingdom'; selected result index 0.",automatically_validated,Leicester,1889,278,2015-01-08,2025-10-14
Lingfield,Great Britain,,,,,,,Europe/London,,unassigned,Lingfield,1385,237,2015-01-05,2025-08-12
Lingfield (AW),Great Britain,,,,,,,Europe/London,,unassigned,Lingfield (AW),4489,702,2015-01-03,2025-10-14
Ludlow,Great Britain,Ludlow Racecourse,Bromfield,England,United Kingdom,52.3930681,-2.7520922,Europe/London,"Nominatim conservative automatic selection from query 'Ludlow racecourse, United Kingdom'; selected result index 0.",automatically_validated,Ludlow,1053,154,2015-01-07,2025-10-08
Market Rasen,Great Britain,,,,,,,Europe/London,,unassigned,Market Rasen,1470,213,2015-01-15,2025-10-14
Musselburgh,Great Britain,Musselburgh Racecourse,Musselburgh,Scotland,United Kingdom,55.9467408,-3.0303835,Europe/London,"Nominatim conservative automatic selection from query 'Musselburgh racecourse, United Kingdom'; selected result index 0.",automatically_validated,Musselburgh,1914,276,2015-01-01,2025-10-13
Newbury,Great Britain,Newbury Racecourse,Greenham,England,United Kingdom,51.3934079,-1.3031916,Europe/London,"Nominatim conservative automatic selection from query 'Newbury racecourse, United Kingdom'; selected result index 0.",automatically_validated,Newbury,2095,292,2015-01-14,2025-09-20
Newcastle,Great Britain,Newcastle Racecourse,North Tyneside,England,United Kingdom,55.0308459,-1.6007838,Europe/London,"Nominatim conservative automatic selection from query 'Newcastle racecourse, United Kingdom'; selected result index 0.",automatically_validated,Newcastle,930,133,2015-01-03,2025-04-05
