candidate_course_label,candidate_jurisdiction,physical_venue_name,locality,region,country,latitude,longitude,iana_timezone,location_evidence,location_validation_status,raw_course_labels,provisional_races,meeting_dates,earliest_date,latest_date
La Plata,Argentina,Hipódromo de La Plata,La Plata,Buenos Aires,Argentina,-34.9012673,-57.9438043,America/Argentina/Buenos_Aires,"Nominatim manual selection from query 'Hipódromo de La Plata, Argentina'; provider place way:287312802; raw response f29ac5baf793331c1b0ec642ecdc882d744cd7daf87369ecd20a8ddf98ef08c7.",manually_validated,La Plata (ARG),37,28,2015-01-18,2025-09-21
Palermo,Argentina,Hipódromo Argentino de Palermo,Buenos Aires,Autonomous City of Buenos Aires,Argentina,-34.5663978,-58.4257272,America/Argentina/Buenos_Aires,"Nominatim manual selection from query 'Palermo hipódromo, Argentina'; selected result index 0, Hipódromo Argentino de Palermo.",manually_validated,Palermo (ARG),200,76,2015-01-03,2025-10-11
San Isidro,Argentina,,,,,,,America/Argentina/Buenos_Aires,,unassigned,San Isidro (ARG),179,80,2015-02-07,2025-10-04
Albury,Australia,,,,,,,Australia/Sydney,,unassigned,Albury (AUS),4,1,2015-03-27,2015-03-27
Alice springs,Australia,,,,,,,Australia/Darwin,,unassigned,Alice springs (AUS),1,1,2019-05-06,2019-05-06
Armidale,Australia,,,,,,,Australia/Sydney,,unassigned,Armidale (AUS),1,1,2020-03-01,2020-03-01
Ascot,Australia,Ascot Racecourse,Perth,Western Australia,Australia,-31.9349899,115.9207839,Australia/Perth,"Nominatim conservative automatic selection from query 'Ascot racecourse, Australia'; selected result index 0.",automatically_validated,Ascot (AUS),204,140,2015-01-01,2025-05-10
Balaklava,Australia,Balaklava Racecourse,Balaklava,South Australia,Australia,-34.1523097,138.4080132,Australia/Adelaide,"Nominatim conservative automatic selection from query 'Balaklava racecourse, Australia'; selected result index 0.",automatically_validated,Balaklava (AUS),1,1,2020-04-29,2020-04-29
Ballarat,Australia,,,,,,,Australia/Melbourne,,unassigned,Ballarat (AUS),2,2,2015-04-30,2015-05-10
Belmont Park (Perth),Australia,Belmont Park Racecourse,Perth,Western Australia,Australia,-31.9433124,115.8904519,Australia/Perth,"Nominatim conservative automatic selection from query 'Belmont Park racecourse, Australia'; selected result index 0.",automatically_validated,Belmont Park (Perth) (AUS),31,31,2015-05-16,2024-06-15
Bendigo,Australia,,,,,,,Australia/Melbourne,,unassigned,Bendigo (AUS),16,14,2015-03-21,2024-10-30
Canberra,Australia,,,,,,,Australia/Sydney,,unassigned,Canberra (AUS),18,11,2015-03-08,2025-03-09
Canterbury Park,Australia,Canterbury Park Racecourse,Sydney,New South Wales,Australia,-33.9069655,151.1156221,Australia/Sydney,"Nominatim conservative automatic selection from query 'Canterbury Park racecourse, Australia'; selected result index 0.",automatically_validated,Canterbury Park (AUS),10,2,2015-04-23,2015-04-29
Caulfield,Australia,,,,,,,Australia/Melbourne,,unassigned,Caulfield (AUS),574,143,2015-02-14,2025-10-11
Cranbourne,Australia,Cranbourne Racecourse,Melbourne,Victoria,Australia,-38.1205154,145.2785406,Australia/Melbourne,"Nominatim conservative automatic selection from query 'Cranbourne racecourse, Australia'; selected result index 0.",automatically_validated,Cranbourne (AUS),9,9,2015-03-13,2018-10-21
Doomben,Australia,Doomben Racecourse,Brisbane,Queensland,Australia,-27.4262979,153.0761163,Australia/Brisbane,"Nominatim conservative automatic selection from query 'Doomben racecourse, Australia'; selected result index 0.",automatically_validated,Doomben (AUS),153,50,2015-05-09,2025-06-04
Eagle Farm,Australia,,,,,,,Australia/Brisbane,,unassigned,Eagle Farm (AUS),166,46,2016-06-11,2025-06-28
Echuca,Australia,,,,,,,Australia/Melbourne,,unassigned,Echuca (AUS),4,3,2015-03-07,2018-08-27
Flemington,Australia,Flemington Racecourse,Melbourne,Victoria,Australia,-37.7892513,144.9127713,Australia/Melbourne,"Nominatim conservative automatic selection from query 'Flemington racecourse, Australia'; selected result index 0.",automatically_validated,Flemington (AUS),498,133,2015-01-01,2025-10-04
Gatton,Australia,Gatton Racecourse,Gatton,Queensland,Australia,-27.5525458,152.2640841,Australia/Brisbane,"Nominatim conservative automatic selection from query 'Gatton racecourse, Australia'; selected result index 0.",automatically_validated,Gatton (AUS),1,1,2019-05-03,2019-05-03
Geelong,Australia,Geelong Racecourse,Geelong,Victoria,Australia,-38.174669,144.3745648,Australia/Melbourne,"Nominatim conservative automatic selection from query 'Geelong racecourse, Australia'; selected result index 0.",automatically_validated,Geelong (AUS),25,15,2015-04-29,2024-10-23
Gold Coast,Australia,Gold Coast Turf Club,Gold Coast,Queensland,Australia,-28.0056491,153.4074343,Australia/Brisbane,"Nominatim conservative automatic selection from query 'Gold Coast racecourse, Australia'; selected result index 0.",automatically_validated,Gold Coast (AUS),44,13,2015-04-25,2025-05-10
Gosford,Australia,Gosford Racecourse,Gosford,New South Wales,Australia,-33.4245828,151.3275269,Australia/Sydney,"Nominatim conservative automatic selection from query 'Gosford racecourse, Australia'; selected result index 0.",automatically_validated,Gosford (AUS),20,15,2015-01-09,2023-12-28
Goulburn,Australia,Goulburn Racecourse & Trotting Track,Goulburn,New South Wales,Australia,-34.7106879,149.7499166,Australia/Sydney,"Nominatim conservative automatic selection from query 'Goulburn racecourse, Australia'; selected result index 0.",automatically_validated,Goulburn (AUS),9,4,2015-03-20,2022-03-11
Grafton,Australia,Grafton Racecourse,Grafton,New South Wales,Australia,-29.6767327,152.931295,Australia/Sydney,"Nominatim conservative automatic selection from query 'Grafton racecourse, Australia'; selected result index 0.",automatically_validated,Grafton (AUS),1,1,2019-04-29,2019-04-29
Gundagai,Australia,,,,,,,Australia/Sydney,,unassigned,Gundagai (AUS),1,1,2018-11-16,2018-11-16
Hawkesbury,Australia,,,,,,,Australia/Sydney,,unassigned,Hawkesbury (AUS),33,12,2015-03-10,2025-05-03
Hobart,Australia,,,,,,,Australia/Hobart,,unassigned,Hobart (AUS),22,18,2015-02-06,2025-02-09
Kembla Grange,Australia,,,,,,,Australia/Sydney,,unassigned,Kembla Grange (AUS),38,21,2015-03-09,2025-03-14
Kyneton,Australia,,,,,,,Australia/Melbourne,,unassigned,Kyneton (AUS),2,2,2015-04-27,2018-11-16
Launceston,Australia,,,,,,,Australia/Hobart,,unassigned,Launceston (AUS),21,15,2015-02-18,2025-02-26
Moe,Australia,,,,,,,Australia/Melbourne,,unassigned,Moe (AUS),2,2,2015-04-25,2018-04-25
Moonee Valley,Australia,Moonee Valley Racecourse,Melbourne,Victoria,Australia,-37.7657387,144.9326693,Australia/Melbourne,"Nominatim conservative automatic selection from query 'Moonee Valley racecourse, Australia'; selected result index 0.",automatically_validated,Moonee Valley (AUS),234,85,2015-01-24,2025-09-26
Mornington,Australia,Mornington Racecourse,Melbourne,Victoria,Australia,-38.2355379,145.0708125,Australia/Melbourne,"Nominatim conservative automatic selection from query 'Mornington racecourse, Australia'; selected result index 0.",automatically_validated,Mornington (AUS),4,4,2015-03-28,2020-09-27
Morphettville,Australia,,,,,,,Australia/Adelaide,,unassigned,Morphettville (AUS),205,88,2015-02-28,2025-08-09
Morphettville Parks,Australia,,,,,,,Australia/Adelaide,,unassigned,Morphettville Parks (AUS),1,1,2016-04-30,2016-04-30
Newcastle,Australia,,,,,,,Australia/Sydney,,unassigned,Newcastle (AUS),77,33,2015-03-07,2025-09-19
Northam,Australia,,,,,,,Australia/Perth,,unassigned,Northam (AUS),6,6,2018-05-06,2025-05-11
Pakenham,Australia,Pakenham Racecourse,Melbourne,Victoria,Australia,-38.0938204,145.6110334,Australia/Melbourne,"Nominatim conservative automatic selection from query 'Pakenham racecourse, Australia'; selected result index 0.",automatically_validated,Pakenham (AUS),6,5,2015-03-26,2018-10-19
Pinjara Park Course,Australia,,,,,,,Australia/Perth,,unassigned,Pinjara Park Course (AUS),1,1,2025-06-21,2025-06-21
Randwick,Australia,,,,,,,Australia/Sydney,,unassigned,Randwick (AUS),719,160,2015-02-14,2025-10-04
Rosehill,Australia,,,,,,,Australia/Sydney,,unassigned,Rosehill (AUS),472,113,2015-01-31,2025-10-11
Sale,Australia,,,,,,,Australia/Melbourne,,unassigned,Sale (AUS),1,1,2015-03-11,2015-03-11
Sandown,Australia,Sandown Racecourse,Melbourne,Victoria,Australia,-37.9514463,145.1648262,Australia/Melbourne,"Nominatim conservative automatic selection from query 'Sandown racecourse, Australia'; selected result index 0.",automatically_validated,Sandown (AUS),65,22,2015-01-26,2025-09-27
Scone,Australia,,,,,,,Australia/Sydney,,unassigned,Scone (AUS),14,10,2015-05-16,2025-05-17
Seymour,Australia,,,,,,,Australia/Melbourne,,unassigned,Seymour (AUS),3,3,2015-04-09,2015-10-18
Sunshine Coast,Australia,,,,,,,Australia/Brisbane,,unassigned,Sunshine Coast (AUS),21,14,2015-05-16,2025-07-05
Toowoomba,Australia,,,,,,,Australia/Brisbane,,unassigned,Toowoomba (AUS),1,1,2021-04-16,2021-04-16
Wagga Wagga,Australia,,,,,,,Australia/Sydney,,unassigned,Wagga Wagga (AUS),1,1,2018-05-03,2018-05-03
Wangaratta,Australia,,,,,,,Australia/Melbourne,,unassigned,Wangaratta (AUS),1,1,2018-05-07,2018-05-07
Warwick Farm,Australia,Warwick Farm Racecourse,Sydney,New South Wales,Australia,-33.9099549,150.9447659,Australia/Sydney,"Nominatim conservative automatic selection from query 'Warwick Farm racecourse, Australia'; selected result index 0.",automatically_validated,Warwick Farm (AUS),32,11,2015-02-28,2025-04-02
Wellington,Australia,,,,,,,Australia/Sydney,,unassigned,Wellington (AUS),4,3,2015-03-29,2020-04-05
Werribee,Australia,Werribee Racecourse,Melbourne,Victoria,Australia,-37.9028292,144.6453403,Australia/Melbourne,"Nominatim conservative automatic selection from query 'Werribee racecourse, Australia'; selected result index 1.",automatically_validated,Werribee (AUS),1,1,2015-03-28,2015-03-28
Wyong,Australia,Wyong Racecourse and Showground,Wyong,New South Wales,Australia,-33.2811414,151.4312144,Australia/Sydney,"Nominatim conservative automatic selection from query 'Wyong racecourse, Australia'; selected result index 0.",automatically_validated,Wyong (AUS),18,11,2015-03-05,2025-09-05
Bahrain,Bahrain,,,,,,,Asia/Bahrain,,unassigned,Bahrain (BHR),63,27,2022-11-18,2025-03-20
Sakhir,Bahrain,,,,,,,Asia/Bahrain,,unassigned,Sakhir (BHR),29,15,2015-02-27,2022-03-11
Ghlin,Belgium,,,,,,,Europe/Brussels,,unassigned,Ghlin (BEL),2,2,2017-03-06,2018-04-16
Ostend,Belgium,,,,,,,Europe/Brussels,,unassigned,Ostend (BEL),1,1,2017-08-28,2017-08-28
Waregem,Belgium,,,,,,,Europe/Brussels,,unassigned,Waregem (BEL),1,1,2019-08-27,2019-08-27
Cidade Jardim,Brazil,Hipódromo de Cidade Jardim,São Paulo,São Paulo,Brazil,-23.5804133,-46.6974874,America/Sao_Paulo,"Nominatim conservative automatic selection from query 'Cidade Jardim hipodromo, Brazil'; selected result index 0.",automatically_validated,Cidade Jardim (BRZ),136,72,2015-01-25,2025-09-06
Cristal,Brazil,Hipódromo do Cristal,Porto Alegre,Rio Grande do Sul,Brazil,-30.0871605,-51.2430397,America/Sao_Paulo,"Nominatim conservative automatic selection from query 'Cristal hipodromo, Brazil'; selected result index 0.",automatically_validated,Cristal (BRZ),1,1,2015-10-10,2015-10-10
Gavea,Brazil,,,,,,,America/Sao_Paulo,,unassigned,Gavea (BRZ),136,65,2015-01-20,2025-06-22
Fort Erie,Canada,,,,,,,America/Toronto,,unassigned,Fort Erie (CAN),1,1,2015-07-29,2015-07-29
Hastings Racecourse,Canada,Hastings Racecourse,Vancouver,British Columbia,Canada,49.2866514,-123.0383488,America/Vancouver,"Nominatim conservative automatic selection from query 'Hastings Racecourse racecourse, Canada'; selected result index 0.",automatically_validated,Hastings Racecourse (CAN),23,21,2015-09-14,2025-09-14
Northlands park,Canada,,,,,,,America/Edmonton,,unassigned,Northlands park (CAN),4,4,2015-08-16,2018-08-26
Woodbine,Canada,,,,,,,America/Toronto,,unassigned,Woodbine (CAN),434,283,2015-04-18,2025-10-11
Club Hipico de Santiago,Chile,,,,,,,America/Santiago,,unassigned,Club Hipico de Santiago (CHI),91,84,2015-02-06,2025-10-05
Hipodromo Chile,Chile,,,,,,,America/Santiago,,unassigned,Hipodromo Chile (CHI),93,88,2015-05-02,2025-10-04
Valparaiso Sporting Club,Chile,,,,,,,America/Santiago,,unassigned,Valparaiso Sporting Club (CHI),14,14,2015-01-02,2025-02-02
Jinma Lake,China,,,,,,,Asia/Shanghai,,unassigned,Jinma Lake (CHN),10,2,2015-04-03,2017-04-02
Pardubice,Czech Republic,,,,,,,Europe/Prague,,unassigned,Pardubice (CZE),12,12,2015-10-11,2025-10-12
Velka Chuchle,Czech Republic,,,,,,,Europe/Prague,,unassigned,Velka Chuchle (CZE),1,1,2018-09-22,2018-09-22
Klampenborg,Denmark,,,,,,,Europe/Copenhagen,,unassigned,Klampenborg (DEN),15,15,2015-06-28,2025-05-24
Amiens,France,Hippodrome d'Amiens,Amiens,Hauts-de-France,France,49.8940996,2.2708455,Europe/Paris,"Nominatim conservative automatic selection from query 'Amiens hippodrome, France'; selected result index 0.",automatically_validated,Amiens (FR),5,5,2015-03-11,2019-11-01
Angers,France,Hippodrome du Lion d'Angers,Segré,Pays de la Loire,France,47.6277489,-0.7071335,Europe/Paris,"Nominatim conservative automatic selection from query 'Angers hippodrome, France'; selected result index 0.",automatically_validated,Angers (FR),26,15,2015-10-12,2024-02-17
Angouleme,France,,,,,,,Europe/Paris,,unassigned,Angouleme (FR),1,1,2015-05-17,2015-05-17
Argentan,France,Hippodrome d'Argentan,Gouffern en Auge,Normandy,France,48.7540389,-0.0016676,Europe/Paris,"Nominatim conservative automatic selection from query 'Argentan hippodrome, France'; selected result index 0.",automatically_validated,Argentan (FR),6,5,2017-06-28,2025-04-09
Auch,France,,,,,,,Europe/Paris,,unassigned,Auch (FR),1,1,2018-10-21,2018-10-21
Auteuil,France,Hippodrome d'Auteuil,Paris,Ile-de-France,France,48.8533713,2.2569996,Europe/Paris,"Nominatim conservative automatic selection from query 'Auteuil hippodrome, France'; selected result index 0.",automatically_validated,Auteuil (FR),3147,393,2015-03-01,2025-10-12
Blain-Bouvron-Le-Gavre,France,,,,,,,Europe/Paris,,unassigned,Blain-Bouvron-Le-Gavre (FR),2,2,2015-04-06,2018-05-27
Bordeaux Le Bouscat,France,Hippodrome Bordeaux Le Bouscat,Le Bouscat,Nouvelle-Aquitaine,France,44.8713437,-0.6254806,Europe/Paris,"Nominatim conservative automatic selection from query 'Bordeaux Le Bouscat hippodrome, France'; selected result index 0.",automatically_validated,Bordeaux Le Bouscat (FR),41,28,2015-04-05,2025-09-29
