candidate_course_label,candidate_jurisdiction,provisional_races,decision,decision_reason,physical_venue_name,iana_timezone,requests_sent,requests_reused
Sluzewiec,Poland,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Busan,South Korea,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Frauenfeld,Switzerland,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,3
Maienfeld,Switzerland,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,3
Meadowlands,United States,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Middleburg,United States,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Montpelier,United States,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Pine Mountain,United States,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Retama Park,United States,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Turf Paradise,United States,1,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
