candidate_course_label,candidate_jurisdiction,provisional_races,decision,decision_reason,physical_venue_name,iana_timezone,requests_sent,requests_reused
Sunland Park,United States,11,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Jinma Lake,China,10,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Mulheim,Germany,10,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
NAGOYA,Japan,10,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Delta downs,United States,10,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Thistledown,United States,10,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Cholet,France,9,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Flamingo Park,South Africa,9,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Turffontein,South Africa,9,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
San Sebastian,Spain,9,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,3
Taby,Sweden,9,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Presque Isle Downs,United States,9,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Lyon-La Soie,France,8,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Mont-De-Marsan,France,8,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Pornichet-La Baule,France,8,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Merano,Italy,7,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Saga,Japan,7,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Emerald Downs,United States,7,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Northam,Australia,6,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,1
Chateaubriant,France,6,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Saint-Malo,France,6,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
Naples,Italy,6,manual_review_required,No returned object passed every conservative automatic acceptance check.,,,0,2
