candidate_course_label,candidate_jurisdiction,exact_query,result_index,provider_place_id,provider_name,provider_display_name,country_code_match,course_name_match,racecourse_name_match,provider_object_match,suspicious_name_match,automatic_eligible,provider_class,provider_type,course_decision,decision_reason
Hoppegarten,Germany,"Hoppegarten rennbahn, Germany",0,way:44910769,Rennbahn Hoppegarten,"Rennbahn Hoppegarten, Trainerweg, Dahlwitz-Hoppegarten, Neuenhagen bei Berlin, Märkisch-Oderland, Brandenburg, 15366, Germany",True,True,False,True,False,False,leisure,sports_centre,manual_review_required,No returned object passed every conservative automatic acceptance check.
Hoppegarten,Germany,"Hoppegarten rennbahn, Germany",1,node:10924010243,Rennbahn Hoppegarten,"Rennbahn Hoppegarten, 1, Goetheallee, Dahlwitz-Hoppegarten, Hoppegarten, Märkisch-Oderland, Brandenburg, 15366, Germany",True,True,False,False,False,False,amenity,events_venue,manual_review_required,No returned object passed every conservative automatic acceptance check.
Hoppegarten,Germany,"Hoppegarten rennbahn, Germany",2,node:8518236224,Rennbahn Hoppegarten,"Rennbahn Hoppegarten, Güstrower Straße, Bollensdorf, Neuenhagen bei Berlin, Märkisch-Oderland, Brandenburg, 15366, Germany",True,True,False,False,False,False,information,board,manual_review_required,No returned object passed every conservative automatic acceptance check.
Monterrico,Peru,"Monterrico hipódromo, Peru",0,way:39363100,Hipódromo de Monterrico,"Hipódromo de Monterrico, Avenida Panamericana Sur, Mariscal Ramón Castilla, Santiago de Surco, Province of Lima, Lima Metropolitan Area, Lima, 15023, Peru",True,True,True,False,False,False,leisure,pitch,manual_review_required,No returned object passed every conservative automatic acceptance check.
Monterrico,Peru,"Monterrico hipodromo, Peru",0,way:39363100,Hipódromo de Monterrico,"Hipódromo de Monterrico, Avenida Panamericana Sur, Mariscal Ramón Castilla, Santiago de Surco, Province of Lima, Lima Metropolitan Area, Lima, 15023, Peru",True,True,True,False,False,False,leisure,pitch,manual_review_required,No returned object passed every conservative automatic acceptance check.
Ellerslie,New Zealand,"Ellerslie racecourse, New Zealand",0,relation:102245,Ellerslie Racecourse,"Ellerslie Racecourse, Great Northern Terrace, Ellerslie, Ōrākei, Auckland, 1040, New Zealand",True,True,True,True,False,True,leisure,stadium,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous."
Ellerslie,New Zealand,"Ellerslie racecourse, New Zealand",1,relation:13200804,Ellerslie Racecourse,"Ellerslie Racecourse, Great Northern Terrace, Ellerslie, Ōrākei, Auckland, 1040, New Zealand",True,True,True,True,False,True,leisure,track,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous."
Arlington Park,United States,"Arlington Park racecourse, United States",0,way:931148525,Arlington Park Racecourse,"Arlington Park Racecourse, 5th Avenue, Babcock, East Moline, Rock Island County, Illinois, 61244, United States",True,True,True,True,False,True,leisure,sports_centre,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous."
Arlington Park,United States,"Arlington Park racecourse, United States",1,relation:12586357,Arlington Park Racecourse,"Arlington Park Racecourse, Morton Drive, Babcock, East Moline, Rock Island County, Illinois, 61244, United States",True,True,True,True,False,True,leisure,track,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous."
Hamburg,Germany,"Hamburg rennbahn, Germany",0,way:10626374,Horner Rennbahn,"Horner Rennbahn, Rennbahnstraße, Horn, Hamburg-Mitte, Hamburg, 22111, Germany",True,False,False,True,False,False,leisure,sports_centre,manual_review_required,No returned object passed every conservative automatic acceptance check.
Hamburg,Germany,"Hamburg rennbahn, Germany",1,way:1070872958,Jugendherberge Hamburg - Horner Rennbahn,"Jugendherberge Hamburg - Horner Rennbahn, Rennbahnstraße, Horn, Hamburg-Mitte, Hamburg, 22111, Germany",True,True,False,False,False,False,tourism,hostel,manual_review_required,No returned object passed every conservative automatic acceptance check.
Hamburg,Germany,"Hamburg rennbahn, Germany",2,way:25111502,PLAZA INN Hamburg Horner Rennbahn,"PLAZA INN Hamburg Horner Rennbahn, 90, Rennbahnstraße, Horn, Hamburg-Mitte, Hamburg, 22111, Germany",True,True,False,False,False,False,tourism,hotel,manual_review_required,No returned object passed every conservative automatic acceptance check.
Maronas,Uruguay,"Maronas hipódromo, Uruguay",0,relation:6295746,Hipodromo Nacional de Maroñas,"Hipodromo Nacional de Maroñas, Ignacio Bazzano, Marconi, Ituzaingó, Montevideo, 12300, Uruguay",True,True,True,True,False,True,leisure,stadium,manual_review_required,"More than one distinct provider object passed the automatic checks, so selection is ambiguous."
